. Sequence file : [Blattabacteria16S.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #25	21   	-7382.48727	Yes        	4        	0.241    	0.000    	 0.26851   0.19673   0.28560   0.24916	-1.06470   0.12355   0.69012   0.25103  
      	     	          	           	          	           	             	                                      	 0.16862  -1.02144   0.09557   0.75725  
      	     	          	           	          	           	             	                                      	 0.64882   0.06583  -0.87694   0.16228  
      	     	          	           	          	           	             	                                      	 0.27051   0.59789   0.18601  -1.05442  

  #26	21   	-7677.74921	Yes        	4        	0.242    	0.000    	 0.26395   0.19385   0.28057   0.26162	-1.06292   0.11581   0.65437   0.29274  
      	     	          	           	          	           	             	                                      	 0.15769  -1.04558   0.10739   0.78050  
      	     	          	           	          	           	             	                                      	 0.61561   0.07420  -0.85845   0.16864  
      	     	          	           	          	           	             	                                      	 0.29535   0.57833   0.18086  -1.05454  

  #27	21   	-7480.43454	Yes        	4        	0.245    	0.000    	 0.27343   0.19553   0.29607   0.23497	-1.06590   0.10690   0.60841   0.35059  
      	     	          	           	          	           	             	                                      	 0.14950  -1.03046   0.07530   0.80567  
      	     	          	           	          	           	             	                                      	 0.56188   0.04973  -0.73420   0.12260  
      	     	          	           	          	           	             	                                      	 0.40797   0.67042   0.15448  -1.23288  

  #28	21   	-7367.25184	Yes        	4        	0.217    	0.000    	 0.27166   0.19302   0.29211   0.24321	-1.07469   0.09282   0.67772   0.30415  
      	     	          	           	          	           	             	                                      	 0.13064  -0.99983   0.13027   0.73892  
      	     	          	           	          	           	             	                                      	 0.63028   0.08608  -0.85426   0.13789  
      	     	          	           	          	           	             	                                      	 0.33973   0.58641   0.16561  -1.09175  

  #29	21   	-7435.96352	Yes        	4        	0.244    	0.000    	 0.28199   0.19519   0.28194   0.24088	-1.10394   0.11196   0.65349   0.33849  
      	     	          	           	          	           	             	                                      	 0.16176  -0.90169   0.05976   0.68017  
      	     	          	           	          	           	             	                                      	 0.65362   0.04137  -0.85202   0.15703  
      	     	          	           	          	           	             	                                      	 0.39625   0.55114   0.18379  -1.13118  

  #30	21   	-7707.26906	Yes        	4        	0.294    	0.000    	 0.28157   0.19757   0.28027   0.24059	-0.99388   0.09146   0.59639   0.30603  
      	     	          	           	          	           	             	                                      	 0.13035  -0.99734   0.14175   0.72524  
      	     	          	           	          	           	             	                                      	 0.59914   0.09993  -0.87341   0.17434  
      	     	          	           	          	           	             	                                      	 0.35816   0.59557   0.20310  -1.15682  

  #31	21   	-7531.99215	Yes        	4        	0.198    	0.000    	 0.28667   0.19870   0.25800   0.25663	-1.00801   0.13080   0.58711   0.29010  
      	     	          	           	          	           	             	                                      	 0.18871  -0.97069   0.09774   0.68424  
      	     	          	           	          	           	             	                                      	 0.65235   0.07528  -0.94335   0.21572  
      	     	          	           	          	           	             	                                      	 0.32405   0.52979   0.21687  -1.07070  

  #32	21   	-7532.74560	Yes        	4        	0.209    	0.000    	 0.27231   0.19736   0.28662   0.24371	-1.09914   0.10962   0.67900   0.31052  
      	     	          	           	          	           	             	                                      	 0.15125  -0.97669   0.08476   0.74067  
      	     	          	           	          	           	             	                                      	 0.64509   0.05836  -0.83529   0.13184  
      	     	          	           	          	           	             	                                      	 0.34696   0.59981   0.15505  -1.10181  

  #33	21   	-7692.64371	Yes        	4        	0.201    	0.000    	 0.28067   0.18609   0.29065   0.24259	-1.08147   0.14172   0.60899   0.33077  
      	     	          	           	          	           	             	                                      	 0.21376  -1.02200   0.07883   0.72941  
      	     	          	           	          	           	             	                                      	 0.58807   0.05047  -0.79700   0.15846  
      	     	          	           	          	           	             	                                      	 0.38270   0.55953   0.18986  -1.13209  

  #34	21   	-7529.27364	Yes        	4        	0.245    	0.000    	 0.28446   0.19866   0.27063   0.24625	-1.01278   0.08762   0.57549   0.34967  
      	     	          	           	          	           	             	                                      	 0.12546  -1.01967   0.08548   0.80873  
      	     	          	           	          	           	             	                                      	 0.60490   0.06275  -0.79424   0.12660  
      	     	          	           	          	           	             	                                      	 0.40392   0.65245   0.13913  -1.19550  

  #35	21   	-7544.17850	Yes        	4        	0.226    	0.000    	 0.31197   0.19280   0.25426   0.24097	-0.91063   0.09154   0.53781   0.28128  
      	     	          	           	          	           	             	                                      	 0.14812  -1.05071   0.10911   0.79349  
      	     	          	           	          	           	             	                                      	 0.65988   0.08273  -0.90736   0.16474  
      	     	          	           	          	           	             	                                      	 0.36416   0.63488   0.17383  -1.17287  

  #36	21   	-7301.57102	Yes        	4        	0.222    	0.000    	 0.28424   0.19335   0.30109   0.22133	-1.02043   0.10612   0.61362   0.30069  
      	     	          	           	          	           	             	                                      	 0.15601  -0.99844   0.05939   0.78304  
      	     	          	           	          	           	             	                                      	 0.57929   0.03814  -0.77376   0.15634  
      	     	          	           	          	           	             	                                      	 0.38617   0.68405   0.21268  -1.28289  

  #37	21   	-7413.18700	Yes        	4        	0.231    	0.000    	 0.28691   0.19596   0.28878   0.22835	-0.96988   0.08730   0.62238   0.26020  
      	     	          	           	          	           	             	                                      	 0.12782  -0.94849   0.09513   0.72553  
